Player,Comp,Age,Min,Gls,Ast,dribbles_successful,key_passes,duels_won,duels_total
Folarin Balogun,fr Ligue 1,23.0,615,4,0,0,0,0,1
Mario Balotelli,it Serie A,33.0,62,0,0,0,0,0,1
Abdoulaye Bamba,fr Ligue 1,34.0,1510,0,0,0,0,0,1
Jonathan Bamba,es La Liga,28.0,811,0,1,0,0,0,1
Mohamed Bamba,fr Ligue 1,19.0,10,0,0,0,0,0,1
Samuel Bamba,de Bundesliga,20.0,27,0,0,0,0,0,1
Lameck Banda,it Serie A,23.0,610,0,1,0,0,0,1
Daniel Bandeira,it Serie A,24.0,407,0,0,0,0,0,1
Mattia Bani,it Serie A,30.0,1507,0,0,0,0,0,1
Noahkai Banks,de Bundesliga,17.0,278,0,0,0,0,0,1
Scott Banks,de Bundesliga,22.0,116,0,0,0,0,0,1
Adrian Baquerin,es La Liga,17.0,49,0,0,0,0,0,1
Antonín Barák,it Serie A,29.0,54,0,0,0,0,0,1
Federico Barba,it Serie A,30.0,431,0,0,0,0,0,1
Valentín Barco,es La Liga,20.0,288,0,0,0,0,0,1
Valentín Barco,fr Ligue 1,20.0,1157,0,2,0,0,0,1
Bradley Barcola,fr Ligue 1,21.0,2181,14,10,0,0,0,1
Melvin Bard,fr Ligue 1,23.0,1938,2,1,0,0,0,1
Nicolò Barella,it Serie A,27.0,2456,3,6,0,0,0,1
Gabriel Bares,fr Ligue 1,23.0,56,0,0,0,0,0,1
Borna Barišić,es La Liga,31.0,9,0,0,0,0,0,1
Téo Barisic,fr Ligue 1,19.0,2,0,0,0,0,0,1
Kike Barja,es La Liga,27.0,315,0,1,0,0,0,1
Ross Barkley,eng Premier League,30.0,581,3,1,0,0,0,1
Aymen Barkok,de Bundesliga,26.0,73,0,0,0,0,0,1
Harvey Barnes,eng Premier League,26.0,1755,9,4,0,0,0,1
Enzo Barrenechea,es La Liga,23.0,2191,1,2,0,0,0,1
Ander Barrenetxea,es La Liga,22.0,1263,1,3,0,0,0,1
Pablo Barrios,es La Liga,21.0,2330,1,4,0,0,0,1
Thierno Barry,es La Liga,21.0,2323,11,4,0,0,0,1
